,total_location,unique_location,total_calls,total_conversations,mean_call_duration,std_call_duration,mean_duration_dark,std_dark,mean_lock_duration,std_lock,most_freq_activity,proportion_running_walking,mean_deadline,std_deadline,mean_sleep,std_sleep,mean_stress,std_stress,labels
u22,59471,906,1390,1109,585.124436429,910.568687844,11872.2268041,8846.11681713,11841.6132075,9243.27165806,0,0.0457203445749,0.197183098592,0.463292512772,6.64,3.69735040265,2.24590163934,1.64621510959,1.0
u23,13624,468,1408,1315,472.834980989,696.751905369,13616.7853403,10111.4056076,10393.1635514,7408.94254921,0,0.0205581534388,0.154929577465,0.398867669254,6.13793103448,3.25601976113,1.30612244898,1.07293383086,1.0
u24,13710,524,880,1048,734.900763359,1047.6763892,9906.14285714,8364.6191402,11099.8492063,8491.40359148,0,0.0533299178277,0.267605633803,0.627037444776,5.05714285714,3.86887105824,1.58333333333,1.20473602457,1.0
u25,11195,764,781,1121,865.82426405,1417.57328809,9456.25773196,6533.48817379,12007.9807692,8536.94475273,0,0.068695900874,0.154929577465,0.361837537427,5.55,3.35372926755,2.12,1.60798009938,1.0
u27,23377,742,1610,2212,459.150994575,734.03605633,9446.00961538,7712.00249174,11037.6122449,8271.29562147,0,0.0284733258775,0.281690140845,0.561263629441,4.1,3.20780298647,1.53333333333,1.14697670227,1.0
u30,66920,1301,1531,2107,917.590887518,1298.61402723,12392.3298429,9864.99282067,13422.5720339,9639.34126067,0,0.0636704422597,0.366197183099,0.537061294787,6.05,2.82798514848,2.51428571429,1.72992862894,1.0
u31,15807,844,1612,2555,463.342074364,661.57313705,9958.11,7307.18560514,7803.51442308,4725.92421565,0,0.0439000034226,0.169014084507,0.41063041513,3.75,2.98956518578,1.76470588235,1.73304939561,1.0
u32,84148,1378,1241,1955,836.494629156,1244.78414787,12715.1206897,9770.40501945,12776.622807,9542.96645178,0,0.0710650453433,0.352112676056,0.477628872051,7.36538461538,3.29935218673,2.23287671233,1.61771484309,1.0
u33,27465,997,1310,902,1051.05654102,1509.35376919,12645.3555556,9440.78211604,10328.3064516,8129.56222139,0,0.047575270596,0.394366197183,0.592889159996,6.10869565217,3.81204190901,2.66666666667,1.30930734142,1.0
u34,7843,697,828,1139,612.045654083,813.039819796,11209.5294118,7254.94722445,13038.45,8168.25294953,0,0.0402254944412,0.154929577465,0.398867669254,4.0,3.43996124009,1.09090909091,1.44313707876,0.0
u35,13314,667,1612,1427,537.219341275,764.090621699,12580.6170213,7905.97934653,12577.9711538,8391.05194132,0,0.0316353807382,0.154929577465,0.398867669254,5.8,2.82134719593,2.13636363636,1.67319657448,1.0
u36,46055,906,1827,1914,418.650992685,661.535554522,10981.0286885,9449.42472071,9684.88288288,8169.2688464,0,0.057159468566,0,0,6.54054054054,2.85311204765,1.27419354839,0.826366997255,0.0
u39,3496,133,534,435,255.691954023,278.991882722,17440.75,11468.5669413,10640.6923077,8603.62458846,0,0.00335093234046,0,0,5.57142857143,3.53986048382,0.666666666667,0.471404520791,0.0
u41,45302,797,1100,1213,664.974443528,922.142120747,11516.9315068,9073.13503737,14247.6617647,9832.731877,0,0.0300885919582,0.197183098592,0.463292512772,5.88888888889,3.33148096679,1.46666666667,1.08730042869,1.0
u42,14813,712,1084,1147,601.419354839,804.175534679,14530.7708333,9371.173075,12092.7653061,8391.96310959,0,0.0252301501538,0.154929577465,0.398867669254,3.76,4.06231461115,2.47368421053,1.9020327368,1.0
u43,11643,957,1246,1731,602.821490468,1095.44057592,12297.057554,9913.191594,12356.6790123,9520.45069782,0,0.058186650945,0,0,6.23333333333,2.87150754057,1.76829268293,1.16135728508,1.0
u44,10440,445,1470,1401,456.995717345,640.840159403,12096.1904762,9487.70370065,11237.7955556,8978.85289248,0,0.0173482189783,0.211267605634,0.528497550403,8.34920634921,3.25702527713,1.92391304348,1.40831147472,1.0
u45,19761,992,945,1259,632.503574265,916.648746863,14543.4782609,10120.0965176,10126.0706522,6210.7079902,0,0.023501017509,0.154929577465,0.398867669254,5.3125,3.65237508342,2.69696969697,1.97690987034,1.0
u46,43946,1489,1512,1907,754.106974305,1219.42711501,10053.7682927,7160.3576544,9354.07317073,7358.51008461,0,0.114887208274,0.239436619718,0.488308051362,4.96551724138,2.84644677014,2.34210526316,1.43776719786,1.0
u47,7110,831,1394,902,400.430155211,613.626186341,13019.7391304,9254.24349299,11501.1058824,7991.55717142,0,0.0336893919016,0.211267605634,0.528497550403,4.21428571429,3.70672307009,1.38888888889,1.33910786591,1.0
u49,77786,1708,2180,1662,525.60709988,867.176481231,10203.9104478,7204.99298835,8215.4265233,5409.04771969,0,0.0492785695751,1.18309859155,0.954010942078,6.0652173913,3.99674962456,3.10606060606,1.64343310176,1.0
u50,28895,238,994,927,412.362459547,605.912300123,13562.1129032,10410.1495048,11658.3762376,7919.9703893,0,0.0161886007022,0.211267605634,0.528497550403,3.72727272727,3.51854590552,0.888888888889,0.99380799,0.0
u51,24949,942,2215,1936,452.856921488,731.409169075,10901.8798077,8397.62745397,12287.4651899,9092.27135334,0,0.0680777968225,0.154929577465,0.398867669254,6.15384615385,3.27804242349,1.28571428571,0.782460796436,0.0
u52,368674,858,1818,778,460.849614396,768.418471812,10474.9330144,7748.93336419,9335.05063291,7026.59299412,0,0.169257147117,0.225352112676,0.480527383359,5.79310344828,3.53679487033,2.14893617021,1.6370539627,1.0
u53,39129,518,1477,1837,563.770821992,934.269121132,13498.8790323,9318.71334189,12065.8962656,7541.15772956,0,0.0223644382583,0.0985915492958,0.298112823782,5.69444444444,3.94278133953,1.37209302326,0.988850773278,1.0
u54,14317,863,1549,1269,626.647754137,884.920262174,9892.39072848,7440.34385552,8722.34545455,6181.49764697,0,0.0635264577889,0.43661971831,0.574882581182,3.72222222222,2.78499063544,1.56,1.32905981807,1.0
u56,9645,751,1657,1424,513.384831461,795.380613041,12912.8878505,9875.56732768,13267.3941606,9861.56278561,0,0.0467300265277,0,0,7.22222222222,4.18403786306,2.44,2.04117613155,1.0
u57,104615,1069,1855,2249,653.361938639,1065.93948429,11029.4034335,9018.58293021,8686.99657534,5888.49865654,0,0.0872830042647,0.211267605634,0.528497550403,7.49180327869,2.56472253201,1.92537313433,1.20091299641,1.0
u58,29733,630,1632,1417,846.889202541,1368.4381945,11290.0913978,8798.60203933,12035.7443609,8560.19726571,0,0.0385680813833,0.0985915492958,0.298112823782,7.25862068966,1.74751394674,1.87272727273,1.14502156319,1.0
u59,83731,1217,2001,4085,393.540514076,838.996363843,10667.4,7879.4710327,10468.0896552,7461.84089232,0,0.0900796610614,0.732394366197,0.91862951319,6.09589041096,3.69807200254,2.41635687732,1.5295940975,1.0
